"To optimize your conversion rate and ensure that your customers are aware of the YounitedPay offer, you can display the eligible offers on your product page. To do so, activate the 'Show monthly installments' function in the 'Display' section of the module. If the display is not optimal, make sure you have downloaded the latest version of the module.","To optimize your conversion rate and ensure that your customers are aware of the YounitedPay offer, you can display the eligible offers on your product page. To do so, activate the 'Show monthly installments' function in the 'Display' section of the module. If the display is not optimal, make sure you have downloaded the latest version of the module."
"How are refunds processed ?","How are refunds processed ?"
"How can I test the module if I don't have a staging environment for my website ?","How can I test the module if I don't have a staging environment for my website ?"
"You have the possibility to whitelist IP addresses, allowing a test of the module on your production environment without display to all clients.","You have the possibility to whitelist IP addresses, allowing a test of the module on your production environment without display to all clients."
"Younited Credit transaction started. Reference: %1","Younited Credit transaction started. Reference: %1"
"Customer successfully returns from Younited Pay. Invoice creation #%1.","Customer successfully returns from Younited Pay. Invoice creation #%1."
"Cannot contact Younited Credit API. Status code: %1 - %2.","Cannot contact Younited Credit API. Status code: %1 - %2."
"Younited API returns an invalid response.","Younited API returns an invalid response."
"Please check your Younited API connexion informations.","Please check your Younited API connexion informations."
"Payment refused, or error occurs during validation. Please try again.","Payment refused, or error occurs during validation. Please try again."
"Disabled","Disabled"
"Payment ID","Payment ID"
"Payment Date","Payment Date"
"Payment Status","Payment Status"
"Cannot find Younited Credit payment informations.","Cannot find Younited Credit payment informations."
"Payment Status updated on","Payment Status updated on"
"Maturity","Maturity"
"To confirme","To confirme"
"Confirmed","Confirmed"
"Canceled","Canceled"
"Younited Pay : please consider either make a total refund, or make a partial refund AFTER you ship the order.","Younited Pay : please consider either make a total refund, or make a partial refund AFTER you ship the order."
"An error occured with Younited Payment refund. Please do it manually from Younited Payment dashboard.","An error occured with Younited Payment refund. Please do it manually from Younited Payment dashboard."
"Younited Payment contract successfully updated.","Younited Payment contract successfully updated."
"By law you the credit must only be triggered once the products are shipped to the customer.","By law you the credit must only be triggered once the products are shipped to the customer."
"In order to comply with the legislation, please add to your General Terms and Conditions (GTC) with the hyperlinks and replace [the Seller] with your company name:","In order to comply with the legislation, please add to your General Terms and Conditions (GTC) with the hyperlinks and replace [the Seller] with your company name:"
"[The Seller] offers its Customers the credit service of Younited Pay for the settlement of their purchases and the execution of the payment. This is conditional on the Customer's acceptance of the credit agreement offered by Younited.",""
"Any refusal by Younited to grant credit for an order may result in the cancellation of the order.","Any refusal by Younited to grant credit for an order may result in the cancellation of the order."
"Any termination of the T&Cs binding the Customer and [the Seller] shall result in the termination of the credit agreement between Younited and the Customer.","Any termination of the T&Cs binding the Customer and [the Seller] shall result in the termination of the credit agreement between Younited and the Customer."
"In addition, also add to your General Terms and Conditions (GTC) (in accordance with Article L312-45, under penalty of fine):","In addition, also add to your General Terms and Conditions (GTC) (in accordance with Article L312-45, under penalty of fine):"
"The amount is paid by a credit granted by Younited registered on the REGAFI under number 13156.","The amount is paid by a credit granted by Younited registered on the REGAFI under number 13156."
"There are two possibilities of refund: total and partial. These requests can be made directly from the back office of your Magento.<br />You have just to create a Credit Memo from the Order page.<br />Partial refund can be done too, but order need to be shipped before.","There are two possibilities of refund: total and partial. These requests can be made directly from the back office of your Magento.<br />You have just to create a Credit Memo from the Order page.<br />Partial refund can be done too, but order need to be shipped before."
"Reminder: the minimum monthly payment is 9.99 euros / month","Reminder: the minimum monthly payment is 9.99 euros / month"
